il,bolge,yil,urun,ekilen_alan_dekar,hasat_alan_dekar,uretim_ton,verim_kg_dekar,ort_sicaklik_C,toplam_yagis_mm,yagisli_gun,bagil_nem_pct,rakım_kategori,kuraklik_indeksi,yagis_sapma_zscore,sicaklik_genlik,verim_degisim_pct,verim_sinifi,verim_sinifi_label,hasat_orani
Adıyaman,Güneydoğu Anadolu,2014,Ayçiçeği,127618,109214,12611.8,115.5,16.4,783.8,87,49.4,mid,45.05,1.0,26,-18.89,0,Düşük,0.856
Adıyaman,Güneydoğu Anadolu,2015,Ayçiçeği,12983,11205,1573.6,140.4,18.4,807.1,99,39.2,mid,41.6,1.25,26,21.56,1,Yüksek,0.863
Adıyaman,Güneydoğu Anadolu,2016,Ayçiçeği,160024,144569,17703.7,122.5,16.0,670.8,94,46.6,mid,39.46,-0.22,26,-12.75,0,Düşük,0.903
Adıyaman,Güneydoğu Anadolu,2017,Ayçiçeği,128761,111690,16075.5,143.9,15.7,569.5,49,46.7,mid,34.1,-1.31,26,17.47,1,Yüksek,0.867
Adıyaman,Güneydoğu Anadolu,2018,Ayçiçeği,70179,63662,8378.1,131.6,14.7,728.8,76,51.2,mid,46.42,0.41,26,-8.55,0,Düşük,0.907
Adıyaman,Güneydoğu Anadolu,2019,Ayçiçeği,53762,48158,7780.0,161.6,16.9,510.1,69,48.6,mid,28.5,-1.95,26,22.8,1,Yüksek,0.896
Adıyaman,Güneydoğu Anadolu,2020,Ayçiçeği,97901,92524,12298.1,132.9,16.2,661.6,78,43.7,mid,38.47,-0.32,26,-17.76,0,Düşük,0.945
Adıyaman,Güneydoğu Anadolu,2021,Ayçiçeği,34076,31078,4554.0,146.5,17.8,665.1,71,43.3,mid,35.38,-0.28,26,10.23,1,Yüksek,0.912
Adıyaman,Güneydoğu Anadolu,2022,Ayçiçeği,7853,7063,930.4,131.7,16.0,757.8,78,49.6,mid,44.58,0.72,26,-10.1,0,Düşük,0.899
Adıyaman,Güneydoğu Anadolu,2023,Ayçiçeği,35384,34832,5312.8,152.5,17.0,829.5,96,43.9,mid,46.08,1.49,26,15.79,1,Yüksek,0.984
Adıyaman,Güneydoğu Anadolu,2024,Ayçiçeği,51652,49924,6372.7,127.6,17.3,579.1,73,42.6,mid,31.64,-1.21,26,-16.33,0,Düşük,0.967
Adıyaman,Güneydoğu Anadolu,2012,Buğday,189168,175854,40043.7,227.7,17.1,700.0,95,43.8,mid,38.67,0.1,26,0.0,1,Yüksek,0.93
Adıyaman,Güneydoğu Anadolu,2013,Buğday,87159,74921,15503.2,206.9,16.6,721.1,105,44.5,mid,40.97,0.32,26,-9.13,0,Düşük,0.86
Adıyaman,Güneydoğu Anadolu,2014,Buğday,101342,99497,20789.7,208.9,16.4,783.8,87,49.4,mid,45.05,1.0,26,0.97,0,Düşük,0.982
Adıyaman,Güneydoğu Anadolu,2015,Buğday,121193,107958,20429.2,189.2,18.4,807.1,99,39.2,mid,41.6,1.25,26,-9.43,0,Düşük,0.891
Adıyaman,Güneydoğu Anadolu,2016,Buğday,70035,68428,15142.3,221.3,16.0,670.8,94,46.6,mid,39.46,-0.22,26,16.97,1,Yüksek,0.977
Adıyaman,Güneydoğu Anadolu,2017,Buğday,20904,20501,4355.1,212.4,15.7,569.5,49,46.7,mid,34.1,-1.31,26,-4.02,0,Düşük,0.981
Adıyaman,Güneydoğu Anadolu,2018,Buğday,12004,11772,2341.9,198.9,14.7,728.8,76,51.2,mid,46.42,0.41,26,-6.36,0,Düşük,0.981
Adıyaman,Güneydoğu Anadolu,2019,Buğday,181702,161978,36070.2,222.7,16.9,510.1,69,48.6,mid,28.5,-1.95,26,11.97,1,Yüksek,0.891
Adıyaman,Güneydoğu Anadolu,2020,Buğday,65399,61888,13866.8,224.1,16.2,661.6,78,43.7,mid,38.47,-0.32,26,0.63,1,Yüksek,0.946
Adıyaman,Güneydoğu Anadolu,2021,Buğday,8879,8149,1766.4,216.8,17.8,665.1,71,43.3,mid,35.38,-0.28,26,-3.26,1,Yüksek,0.918
Adıyaman,Güneydoğu Anadolu,2022,Buğday,102807,87880,18895.0,215.0,16.0,757.8,78,49.6,mid,44.58,0.72,26,-0.83,0,Düşük,0.855
Adıyaman,Güneydoğu Anadolu,2023,Buğday,138007,129063,26037.9,201.7,17.0,829.5,96,43.9,mid,46.08,1.49,26,-6.19,0,Düşük,0.935
Adıyaman,Güneydoğu Anadolu,2024,Buğday,156389,133908,28497.6,212.8,17.3,579.1,73,42.6,mid,31.64,-1.21,26,5.5,0,Düşük,0.856
Adıyaman,Güneydoğu Anadolu,2012,Mısır,151932,130278,128692.1,987.8,17.1,700.0,95,43.8,mid,38.67,0.1,26,0.0,1,Yüksek,0.857
Adıyaman,Güneydoğu Anadolu,2013,Mısır,27743,25759,24987.7,970.1,16.6,721.1,105,44.5,mid,40.97,0.32,26,-1.79,1,Yüksek,0.928
Adıyaman,Güneydoğu Anadolu,2014,Mısır,183583,164762,153389.9,931.0,16.4,783.8,87,49.4,mid,45.05,1.0,26,-4.03,1,Yüksek,0.897
Adıyaman,Güneydoğu Anadolu,2015,Mısır,198899,185440,174963.8,943.5,18.4,807.1,99,39.2,mid,41.6,1.25,26,1.34,1,Yüksek,0.932
Adıyaman,Güneydoğu Anadolu,2016,Mısır,128731,110021,110502.0,1004.4,16.0,670.8,94,46.6,mid,39.46,-0.22,26,6.45,1,Yüksek,0.855
Adıyaman,Güneydoğu Anadolu,2017,Mısır,27068,24514,25152.4,1026.0,15.7,569.5,49,46.7,mid,34.1,-1.31,26,2.15,1,Yüksek,0.906
Adıyaman,Güneydoğu Anadolu,2018,Mısır,99200,92437,84846.9,917.9,14.7,728.8,76,51.2,mid,46.42,0.41,26,-10.54,1,Yüksek,0.932
Adıyaman,Güneydoğu Anadolu,2019,Mısır,136290,116757,110338.3,945.0,16.9,510.1,69,48.6,mid,28.5,-1.95,26,2.95,1,Yüksek,0.857
Adıyaman,Güneydoğu Anadolu,2020,Mısır,195501,169905,160398.8,944.1,16.2,661.6,78,43.7,mid,38.47,-0.32,26,-0.1,1,Yüksek,0.869
Adıyaman,Güneydoğu Anadolu,2021,Mısır,159921,140190,143669.3,1024.8,17.8,665.1,71,43.3,mid,35.38,-0.28,26,8.55,1,Yüksek,0.877
Adıyaman,Güneydoğu Anadolu,2022,Mısır,37261,34880,34441.4,987.4,16.0,757.8,78,49.6,mid,44.58,0.72,26,-3.65,1,Yüksek,0.936
Adıyaman,Güneydoğu Anadolu,2023,Mısır,108140,103292,100472.8,972.7,17.0,829.5,96,43.9,mid,46.08,1.49,26,-1.49,1,Yüksek,0.955
Adıyaman,Güneydoğu Anadolu,2024,Mısır,112776,104460,100460.7,961.7,17.3,579.1,73,42.6,mid,31.64,-1.21,26,-1.13,1,Yüksek,0.926
Afyonkarahisar,Ege,2012,Arpa,108119,94826,23430.8,247.1,10.7,376.2,41,56.6,high,32.15,-0.49,22,0.0,1,Yüksek,0.877
Afyonkarahisar,Ege,2013,Arpa,157169,138183,35373.6,256.0,11.5,453.8,65,60.4,high,36.3,0.98,22,3.6,1,Yüksek,0.879
Afyonkarahisar,Ege,2014,Arpa,136763,133398,32821.1,246.0,12.2,374.2,40,62.7,high,28.35,-0.53,22,-3.91,1,Yüksek,0.975
Afyonkarahisar,Ege,2015,Arpa,82986,77251,16786.6,217.3,11.0,357.2,65,59.4,high,29.77,-0.85,22,-11.67,1,Yüksek,0.931
Afyonkarahisar,Ege,2016,Arpa,188622,160756,42340.8,263.4,9.5,379.4,49,61.4,high,36.13,-0.43,22,21.21,1,Yüksek,0.852
Afyonkarahisar,Ege,2017,Arpa,34092,32082,7803.1,243.2,10.9,411.6,50,60.1,high,34.59,0.18,22,-7.67,1,Yüksek,0.941
Afyonkarahisar,Ege,2018,Arpa,123843,118746,30133.5,253.8,11.3,350.4,41,55.0,high,28.49,-0.98,22,4.36,1,Yüksek,0.959
Afyonkarahisar,Ege,2019,Arpa,94745,82224,21532.8,261.9,12.0,403.0,53,54.5,high,31.0,0.02,22,3.19,1,Yüksek,0.868
Afyonkarahisar,Ege,2020,Arpa,141132,133039,34188.0,257.0,9.8,486.4,71,59.1,high,45.04,1.6,22,-1.87,1,Yüksek,0.943
Afyonkarahisar,Ege,2021,Arpa,192135,184291,48154.6,261.3,11.3,414.4,59,57.8,high,33.69,0.23,22,1.67,1,Yüksek,0.959
Afyonkarahisar,Ege,2022,Arpa,117470,101182,23788.3,235.1,11.2,489.6,73,56.7,high,40.13,1.66,22,-10.03,1,Yüksek,0.861
Afyonkarahisar,Ege,2023,Arpa,52234,49799,13268.4,266.4,10.9,301.2,40,57.6,high,25.31,-1.92,22,13.31,1,Yüksek,0.953
Afyonkarahisar,Ege,2024,Arpa,90959,78913,19439.1,246.3,12.6,430.0,58,54.5,high,31.62,0.53,22,-7.55,1,Yüksek,0.868
Afyonkarahisar,Ege,2012,Ayçiçeği,27927,25035,3617.2,144.5,10.7,376.2,41,56.6,high,32.15,-0.49,22,0.0,1,Yüksek,0.896
Afyonkarahisar,Ege,2013,Ayçiçeği,9926,8938,1379.8,154.4,11.5,453.8,65,60.4,high,36.3,0.98,22,6.85,1,Yüksek,0.9
Afyonkarahisar,Ege,2014,Ayçiçeği,93302,89632,13003.8,145.1,12.2,374.2,40,62.7,high,28.35,-0.53,22,-6.02,1,Yüksek,0.961
Afyonkarahisar,Ege,2015,Ayçiçeği,156738,142250,22430.0,157.7,11.0,357.2,65,59.4,high,29.77,-0.85,22,8.68,1,Yüksek,0.908
Afyonkarahisar,Ege,2016,Ayçiçeği,103071,94993,13304.1,140.1,9.5,379.4,49,61.4,high,36.13,-0.43,22,-11.16,1,Yüksek,0.922
Afyonkarahisar,Ege,2017,Ayçiçeği,92592,91626,13732.9,149.9,10.9,411.6,50,60.1,high,34.59,0.18,22,7.0,1,Yüksek,0.99
Afyonkarahisar,Ege,2018,Ayçiçeği,31270,30105,4821.9,160.2,11.3,350.4,41,55.0,high,28.49,-0.98,22,6.87,1,Yüksek,0.963
Afyonkarahisar,Ege,2019,Ayçiçeği,84267,80201,12714.2,158.5,12.0,403.0,53,54.5,high,31.0,0.02,22,-1.06,1,Yüksek,0.952
Afyonkarahisar,Ege,2020,Ayçiçeği,194327,189736,33226.0,175.1,9.8,486.4,71,59.1,high,45.04,1.6,22,10.47,1,Yüksek,0.976
Afyonkarahisar,Ege,2021,Ayçiçeği,74590,71915,12174.5,169.3,11.3,414.4,59,57.8,high,33.69,0.23,22,-3.31,1,Yüksek,0.964
Afyonkarahisar,Ege,2022,Ayçiçeği,55733,50992,8004.3,157.0,11.2,489.6,73,56.7,high,40.13,1.66,22,-7.27,1,Yüksek,0.915
Afyonkarahisar,Ege,2023,Ayçiçeği,84526,82176,12292.7,149.6,10.9,301.2,40,57.6,high,25.31,-1.92,22,-4.71,1,Yüksek,0.972
Afyonkarahisar,Ege,2024,Ayçiçeği,91226,88173,13303.0,150.9,12.6,430.0,58,54.5,high,31.62,0.53,22,0.87,1,Yüksek,0.967
Afyonkarahisar,Ege,2012,Buğday,30095,29500,6675.0,226.3,10.7,376.2,41,56.6,high,32.15,-0.49,22,0.0,1,Yüksek,0.98
Afyonkarahisar,Ege,2013,Buğday,125243,109285,30296.7,277.2,11.5,453.8,65,60.4,high,36.3,0.98,22,22.49,1,Yüksek,0.873
Afyonkarahisar,Ege,2014,Buğday,11364,10207,2584.2,253.2,12.2,374.2,40,62.7,high,28.35,-0.53,22,-8.66,1,Yüksek,0.898
Afyonkarahisar,Ege,2015,Buğday,140747,138891,33950.9,244.4,11.0,357.2,65,59.4,high,29.77,-0.85,22,-3.48,1,Yüksek,0.987
Afyonkarahisar,Ege,2016,Buğday,169726,146632,36890.4,251.6,9.5,379.4,49,61.4,high,36.13,-0.43,22,2.95,1,Yüksek,0.864
Afyonkarahisar,Ege,2017,Buğday,63741,56131,14681.0,261.5,10.9,411.6,50,60.1,high,34.59,0.18,22,3.93,1,Yüksek,0.881
Afyonkarahisar,Ege,2018,Buğday,158263,135140,32739.0,242.3,11.3,350.4,41,55.0,high,28.49,-0.98,22,-7.34,1,Yüksek,0.854
Afyonkarahisar,Ege,2019,Buğday,24053,20747,5129.7,247.2,12.0,403.0,53,54.5,high,31.0,0.02,22,2.02,1,Yüksek,0.863
Afyonkarahisar,Ege,2020,Buğday,189442,163191,36174.4,221.7,9.8,486.4,71,59.1,high,45.04,1.6,22,-10.32,1,Yüksek,0.861
Afyonkarahisar,Ege,2021,Buğday,172706,156520,34319.9,219.3,11.3,414.4,59,57.8,high,33.69,0.23,22,-1.08,1,Yüksek,0.906
Afyonkarahisar,Ege,2022,Buğday,30216,27015,6457.7,239.0,11.2,489.6,73,56.7,high,40.13,1.66,22,8.98,1,Yüksek,0.894
Afyonkarahisar,Ege,2023,Buğday,59383,51583,12350.7,239.4,10.9,301.2,40,57.6,high,25.31,-1.92,22,0.17,1,Yüksek,0.869
Afyonkarahisar,Ege,2024,Buğday,197341,174164,48890.9,280.7,12.6,430.0,58,54.5,high,31.62,0.53,22,17.25,1,Yüksek,0.883
Afyonkarahisar,Ege,2012,Mısır,152044,131015,117048.1,893.4,10.7,376.2,41,56.6,high,32.15,-0.49,22,0.0,1,Yüksek,0.862
Afyonkarahisar,Ege,2013,Mısır,84507,80513,74780.6,928.8,11.5,453.8,65,60.4,high,36.3,0.98,22,3.96,1,Yüksek,0.953
Afyonkarahisar,Ege,2014,Mısır,149933,132491,114189.8,861.9,12.2,374.2,40,62.7,high,28.35,-0.53,22,-7.2,1,Yüksek,0.884
Afyonkarahisar,Ege,2015,Mısır,133180,127522,111173.4,871.8,11.0,357.2,65,59.4,high,29.77,-0.85,22,1.15,1,Yüksek,0.958
Afyonkarahisar,Ege,2016,Mısır,191985,184460,155676.7,844.0,9.5,379.4,49,61.4,high,36.13,-0.43,22,-3.19,1,Yüksek,0.961
Afyonkarahisar,Ege,2017,Mısır,126585,108394,95668.7,882.6,10.9,411.6,50,60.1,high,34.59,0.18,22,4.57,1,Yüksek,0.856
Afyonkarahisar,Ege,2018,Mısır,199549,177884,165911.2,932.7,11.3,350.4,41,55.0,high,28.49,-0.98,22,5.68,1,Yüksek,0.891
Afyonkarahisar,Ege,2019,Mısır,142207,137830,126449.2,917.4,12.0,403.0,53,54.5,high,31.0,0.02,22,-1.64,1,Yüksek,0.969
Afyonkarahisar,Ege,2020,Mısır,39782,34051,32265.6,947.6,9.8,486.4,71,59.1,high,45.04,1.6,22,3.29,1,Yüksek,0.856
Afyonkarahisar,Ege,2021,Mısır,115674,100723,87149.2,865.2,11.3,414.4,59,57.8,high,33.69,0.23,22,-8.7,1,Yüksek,0.871
Afyonkarahisar,Ege,2022,Mısır,73111,72334,63914.6,883.6,11.2,489.6,73,56.7,high,40.13,1.66,22,2.13,1,Yüksek,0.989
Afyonkarahisar,Ege,2023,Mısır,52315,49599,41983.0,846.4,10.9,301.2,40,57.6,high,25.31,-1.92,22,-4.21,1,Yüksek,0.948
Afyonkarahisar,Ege,2024,Mısır,123920,106824,107714.8,1008.3,12.6,430.0,58,54.5,high,31.62,0.53,22,19.13,1,Yüksek,0.862
Aksaray,İç Anadolu,2012,Arpa,12373,11213,2476.1,220.8,11.1,320.9,49,52.2,mid,26.52,-1.28,28,0.0,1,Yüksek,0.906
Aksaray,İç Anadolu,2013,Arpa,138595,118722,24698.2,208.0,11.1,314.0,47,60.1,mid,25.95,-1.46,28,-5.8,0,Düşük,0.857
Aksaray,İç Anadolu,2014,Arpa,107802,102807,22092.1,214.9,9.4,341.2,40,49.0,mid,32.81,-0.76,28,3.32,1,Yüksek,0.954
Aksaray,İç Anadolu,2015,Arpa,72194,69817,15588.1,223.3,12.2,347.1,40,49.1,mid,26.3,-0.61,28,3.91,1,Yüksek,0.967
Aksaray,İç Anadolu,2016,Arpa,133713,124716,29405.5,235.8,11.4,402.7,40,54.9,mid,32.48,0.81,28,5.6,1,Yüksek,0.933
Aksaray,İç Anadolu,2017,Arpa,168384,145133,32135.7,221.4,11.7,403.9,60,54.4,mid,31.8,0.85,28,-6.11,1,Yüksek,0.862
Aksaray,İç Anadolu,2018,Arpa,164978,154809,36479.8,235.6,10.6,392.8,59,55.6,mid,33.86,0.56,28,6.41,1,Yüksek,0.938
Aksaray,İç Anadolu,2019,Arpa,107364,99706,24839.6,249.1,12.4,356.1,54,51.9,mid,26.57,-0.38,28,5.73,1,Yüksek,0.929
Aksaray,İç Anadolu,2020,Arpa,164437,156916,39722.4,253.1,11.0,328.5,40,49.4,mid,27.38,-1.09,28,1.61,1,Yüksek,0.954
Aksaray,İç Anadolu,2021,Arpa,8641,8203,1917.0,233.7,12.7,406.0,63,51.1,mid,29.64,0.9,28,-7.66,1,Yüksek,0.949
